event_id,date,company,event_type,description,source_url,expected_significance,found_by_agent,agent_significance,notes
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,,,,,,,,,
10,,,,,,,,,
11,,,,,,,,,
12,,,,,,,,,
13,,,,,,,,,
14,,,,,,,,,
15,,,,,,,,,

# Инструкция по заполнению:
#
# date              — дата события (YYYY-MM-DD)
# company            — компания-спонсор
# event_type         — new_trial / phase_change / status_change / deal_partnership / news
# description        — 1 предложение, что произошло
# source_url         — ссылка на первоисточник (NCT ID -> clinicaltrials.gov/study/... или новость)
# expected_significance — твоя экспертная оценка: High / Medium / Low
#
# Заполняешь колонки found_by_agent, agent_significance, notes ПОСЛЕ прогона агента —
# сверяешь, нашёл ли он это событие сам и как оценил значимость.
